id,title,list_placement,author_id,author,pages,date,series,avg_rating,ratings,list_score,list_votes
2767052,The Hunger Games,1,153394,Suzanne Collins,374,2008,True,4.33,6384123,2995995,30538
2,Harry Potter and the Order of the Phoenix,2,1077326,J.K. Rowling,870,2003,True,4.5,2511624,2633491,26937
2657,To Kill a Mockingbird,3,1825,Harper Lee,324,1960,True,4.28,4507269,2271275,23347
1885,Pride and Prejudice,4,1265,Jane Austen,279,1813,False,4.26,3002965,1985084,20473
41865,Twilight,5,941441,Stephenie Meyer,501,2005,True,3.6,4970612,1459846,14878
19063,The Book Thief,6,11466,Markus Zusak,552,2005,False,4.37,1836924,1373779,14178
170448,Animal Farm,7,3706,George Orwell,141,1945,False,3.95,2744901,1277876,13277
11127,The Chronicles of Narnia,8,1069006,C.S. Lewis,767,1956,True,4.26,518497,1239045,12954
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,9,656983,J.R.R. Tolkien,1728,1955,True,4.6,110323,1161179,12126
11870085,The Fault in Our Stars,10,1406384,John Green,313,2012,False,4.2,3555752,1088041,11297
18405,Gone with the Wind,11,11081,Margaret Mitchell,1037,1936,False,4.3,1075674,1087959,11213
386162,The Hitchhiker's Guide to the Galaxy,12,4,Douglas Adams,193,1979,True,4.22,1438513,1063895,10999
370493,The Giving Tree,13,435477,Shel Silverstein,64,1964,False,4.37,906870,1021739,10596
6185,Wuthering Heights,14,4191,Emily Brontë,464,1847,False,3.86,1344606,982086,10281
968,The Da Vinci Code,15,630,Dan Brown,489,2003,True,3.86,1935780,877025,9235
929,Memoirs of a Geisha,16,614,Arthur Golden,503,1997,False,4.12,1718844,863141,8997
5297,The Picture of Dorian Gray,17,3565,Oscar Wilde,272,1890,False,4.08,967907,862775,9106
24213,Alice's Adventures in Wonderland / Through the Looking-Glass,18,8164,Lewis Carroll,239,1871,True,4.06,458959,834167,8816
10210,Jane Eyre,19,1036615,Charlotte Brontë,532,1847,False,4.13,1626706,827554,8748
24280,Les Misérables,20,13661,Victor Hugo,1463,1862,False,4.18,683476,812992,8547
13079982,Fahrenheit 451,21,1630,Ray Bradbury,194,1953,False,3.99,1682747,794639,8546
13335037,Divergent,22,4039811,Veronica Roth,487,2011,True,4.19,2910347,793957,8346
7624,Lord of the Flies,23,306,William Golding,182,1954,False,3.69,2265615,774049,8235
18135,Romeo and Juliet,24,947,William Shakespeare,301,1595,False,3.75,2057080,772062,8286
18144590,The Alchemist,25,566,Paulo Coelho,182,1988,False,3.88,2111539,766164,8014
7144,Crime and Punishment,26,3137322,Fyodor Dostoyevsky,671,1866,False,4.22,627845,759359,7940
22628,The Perks of Being a Wallflower,27,12898,Stephen Chbosky,213,1999,False,4.2,1251621,758900,7984
4671,The Great Gatsby,28,3190,F. Scott Fitzgerald,200,1925,False,3.92,3780204,756031,8152
256683,City of Bones,29,150038,Cassandra Clare,485,2007,True,4.1,1619480,722033,7604
375802,Ender's Game,30,589,Orson Scott Card,324,1985,True,4.3,1132681,721132,7520
4667024,The Help,31,1943477,Kathryn Stockett,451,2009,False,4.47,2167168,718558,7696
8127,Anne of Green Gables,32,5350,L.M. Montgomery,320,1908,True,4.26,728761,695641,7342
3,Harry Potter and the Sorcerer's Stone,33,1077326,J.K. Rowling,309,1997,True,4.47,7060621,692791,7362
157993,The Little Prince,34,1020792,Antoine de Saint-Exupéry,93,1943,False,4.31,1366009,692412,7408
24178,Charlotte's Web,35,988142,E.B. White,184,1952,False,4.17,1419182,681519,7362
890,Of Mice and Men,36,585,John Steinbeck,103,1937,False,3.88,1944264,668005,7219
18619684,The Time Traveler's Wife,37,498072,Audrey Niffenegger,500,2003,False,3.97,1575292,666454,6970
17245,Dracula,38,6988,Bram Stoker,488,1897,True,4.0,940450,647332,6995
5129,Brave New World,39,3487,Aldous Huxley,288,1932,False,3.99,1443138,636967,6843
320,One Hundred Years of Solitude,40,13450,Gabriel García Márquez,417,1967,False,4.08,754742,621633,6547
