list_placement,id,title,author_id,author_name,avg_rating,number_of_ratings,list_score,number_of_list_votes
1,2767052,The Hunger Games,153394,Suzanne Collins,4.33,6384123,2995995,30538
2,2,Harry Potter and the Order of the Phoenix,1077326,J.K. Rowling,4.5,2511624,2633491,26937
3,2657,To Kill a Mockingbird,1825,Harper Lee,4.28,4507269,2271275,23347
4,1885,Pride and Prejudice,1265,Jane Austen,4.26,3002965,1985084,20473
5,41865,Twilight,941441,Stephenie Meyer,3.6,4970612,1459846,14878
6,19063,The Book Thief,11466,Markus Zusak,4.37,1836924,1373779,14178
7,170448,Animal Farm,3706,George Orwell,3.95,2744901,1277876,13277
8,11127,The Chronicles of Narnia,1069006,C.S. Lewis,4.26,518497,1239045,12954
9,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,656983,J.R.R. Tolkien,4.6,110323,1161179,12126
10,11870085,The Fault in Our Stars,1406384,John Green,4.2,3555752,1088041,11297
11,18405,Gone with the Wind,11081,Margaret Mitchell,4.3,1075674,1087959,11213
12,386162,The Hitchhiker&#39;s Guide to the Galaxy,4,Douglas Adams,4.22,1438513,1063895,10999
13,370493,The Giving Tree,435477,Shel Silverstein,4.37,906870,1021739,10596
14,6185,Wuthering Heights,4191,Emily Brontë,3.86,1344606,982086,10281
15,968,The Da Vinci Code,630,Dan Brown,3.86,1935780,877025,9235
16,929,Memoirs of a Geisha,614,Arthur Golden,4.12,1718844,863141,8997
17,5297,The Picture of Dorian Gray,3565,Oscar Wilde,4.08,967907,862775,9106
18,24213,Alice&#39;s Adventures in Wonderland / Through the Looking-Glass,8164,Lewis Carroll,4.06,458959,834167,8816
19,10210,Jane Eyre,1036615,Charlotte Brontë,4.13,1626706,827554,8748
20,24280,Les Misérables,13661,Victor Hugo,4.18,683476,812992,8547
21,13079982,Fahrenheit 451,1630,Ray Bradbury,3.99,1682747,794639,8546
22,13335037,Divergent,4039811,Veronica Roth,4.19,2910347,793957,8346
23,7624,Lord of the Flies,306,William Golding,3.69,2265615,774049,8235
24,18135,Romeo and Juliet,947,William Shakespeare,3.75,2057080,772062,8286
25,18144590,The Alchemist,566,Paulo Coelho,3.88,2111539,766164,8014
26,7144,Crime and Punishment,3137322,Fyodor Dostoyevsky,4.22,627845,759359,7940
27,22628,The Perks of Being a Wallflower,12898,Stephen Chbosky,4.2,1251621,758900,7984
28,4671,The Great Gatsby,3190,F. Scott Fitzgerald,3.92,3780204,756031,8152
29,256683,City of Bones,150038,Cassandra Clare,4.1,1619480,722033,7604
30,375802,Ender&#39;s Game,589,Orson Scott Card,4.3,1132681,721132,7520
31,4667024,The Help,1943477,Kathryn Stockett,4.47,2167168,718558,7696
32,8127,Anne of Green Gables,5350,L.M. Montgomery,4.26,728761,695641,7342
33,3,Harry Potter and the Sorcerer&#39;s Stone,1077326,J.K. Rowling,4.47,7060621,692791,7362
34,157993,The Little Prince,1020792,Antoine de Saint-Exupéry,4.31,1366009,692412,7408
35,24178,Charlotte&#39;s Web,988142,E.B. White,4.17,1419182,681519,7362
36,890,Of Mice and Men,585,John Steinbeck,3.88,1944264,668005,7219
37,18619684,The Time Traveler&#39;s Wife,498072,Audrey Niffenegger,3.97,1575292,666454,6970
38,17245,Dracula,6988,Bram Stoker,4.0,940450,647332,6995
